,0,1,2,3,4,5,6,7,8,9
97,pant,leg,waist,wide,trouser,high,palazzo,woman,casual,elastic
98,glass,blocking,reading,computer,light,blue,anti,reader,eyeglass,men
99,swing,dress,casual,sleeve,woman,loose,pocket,tunic,neck,shirt
100,pajama,set,sleepwear,short,woman,sleep,pant,piece,and,large
101,tunic,top,sleeve,woman,long,neck,knit,sweater,blouse,ribbed
102,keychain,gift,for,you,key,keyring,birthday,friend,dad,keychains
103,hat,cap,baseball,adjustable,men,dad,black,embroidered,for,snapback
104,glove,winter,fingerless,warm,mitten,touchscreen,pair,for,touch,finger
105,set,pajama,sleepwear,pjs,short,pj,loungewear,nightwear,sleeve,lounge
106,dress,lace,black,woman,sexy,bodycon,party,sequin,mermaid,skirt
107,men,black,shirt,large,war,star,the,armour,under,logo
108,pendant,charm,necklace,jewelry,making,diy,bracelet,silver,for,antique
109,cycling,bike,bicycle,short,jersey,padded,men,biking,mtb,motorcycle
110,short,waist,elastic,drawstring,casual,summer,woman,pocket,with,comfy
111,nike,black,men,white,dri,adidas,training,air,size,large
112,baby,girl,month,outfit,headband,romper,toddler,bodysuit,set,clothes
113,navy,military,army,shirt,flag,cap,large,blue,black,marine
114,shirt,tee,graphic,letter,top,funny,short,print,sleeve,casual
115,jacket,coat,blazer,woman,long,lapel,winter,sleeve,outwear,front
116,sunglass,polarized,driving,sport,fishing,cycling,men,glass,frame,for
117,sport,arm,men,sleeve,for,protection,cooling,headband,sun,running
118,bag,handbag,purse,shoulder,crossbody,tote,leather,woman,satchel,handle
119,toddler,kid,shoe,little,boy,sneaker,baby,slip,girl,big
120,earring,hoop,huggie,gold,for,silver,stud,hypoallergenic,plated,sterling
121,lens,oakley,replacement,polarized,for,sunglass,fuse,revant,optic,frame
122,suede,boot,guilty,black,faux,west,blvd,heart,taupe,10
123,swimsuit,swimwear,girl,bathing,suit,piece,swim,one,kid,baby
124,bracelet,for,bangle,jewelry,woman,anklet,gold,girl,gift,chain
125,men,fit,shirt,slim,sleeve,button,long,polo,casual,down
126,silver,sterling,necklace,pendant,chain,925,zirconia,cubic,inch,plated
127,woman,pant,legging,size,black,plus,womens,bra,large,stretch
128,jean,denim,ripped,skinny,distressed,blue,woman,pant,high,short
129,robe,bathrobe,plush,spa,kimono,fleece,bath,soft,terry,woman
130,watch,quartz,men,wrist,analog,waterproof,steel,dial,stainless,wristwatch
131,sunglass,polarized,lens,frame,men,glass,protection,uv400,for,woman
132,hat,cap,beanie,knit,black,unisex,winter,snapback,one,baseball
133,sock,compression,legging,knee,pair,high,black,size,ankle,for
134,pink,woman,dress,sleeve,top,short,neck,shirt,floral,long
135,dress,bridesmaid,gown,prom,evening,wedding,formal,party,long,lace
136,zip,sweatshirt,jacket,up,hoodie,fleece,woman,pullover,long,coat
137,woman,womens,black,size,large,top,front,sleeve,white,plus
138,nose,ring,piercing,steel,surgical,stud,hoop,jewelry,cartilage,16g
139,swing,dress,summer,floral,casual,woman,beach,sundress,sleeveless,sleeve
140,wallet,card,rfid,leather,holder,case,credit,blocking,bifold,slim
141,beach,dress,summer,maxi,floral,woman,casual,sundress,sleeveless,boho
142,skater,dress,skirt,flared,woman,line,mini,pleated,midi,swing
143,blouse,top,shirt,sleeve,neck,woman,long,casual,button,chiffon
144,floerns,woman,sleeve,neck,dress,top,print,short,floral,long
145,floral,dress,woman,print,sleeve,maxi,blue,casual,summer,short
146,midi,dress,woman,bodycon,sleeve,casual,neck,floral,summer,sleeveless
147,ring,silicone,size,band,for,wedding,men,black,rubber,case
148,shoe,sneaker,shoelace,boot,lace,toe,black,heel,men,pair
149,bandana,gaiter,face,scarf,neck,headband,mask,balaclava,headwear,for
150,ring,steel,stainless,men,chain,jewelry,necklace,titanium,silver,inch
151,yoga,legging,pant,workout,high,woman,capri,pocket,waist,tummy
152,dress,bodycon,neck,woman,mini,sleeve,sleeveless,long,shoulder,casual
153,costume,dress,halloween,cosplay,girl,princess,party,woman,for,fancy
154,viv,collection,pant,palazzo,straight,trouser,printed,large,stretchy,inseam
155,men,sock,pant,running,compression,athletic,jogger,sport,sweatpants,short
156,boxer,brief,underwear,men,pack,cotton,breathable,fly,trunk,black
157,dog,cat,pet,animal,paw,shirt,puppy,lover,mom,print
158,boat,neck,sleeve,top,woman,dolman,dress,batwing,womens,shirt
159,necklace,pendant,jewelry,chain,for,woman,gold,choker,silver,girl
160,eyeglass,frame,lens,havana,black,optical,matte,glass,53mm,52mm
161,swimsuit,bikini,bathing,piece,suit,swimwear,one,woman,two,high
162,michael,kor,satchel,jet,tote,large,leather,bag,black,medium
163,mask,halloween,masquerade,costume,cosplay,face,party,for,prop,scary
164,short,workout,running,yoga,athletic,pocket,woman,high,biker,waist
165,bra,sport,padded,woman,push,strapless,yoga,seamless,up,for
166,hat,cap,trucker,baseball,adjustable,snapback,mesh,black,new,era
167,hiking,outdoor,camping,men,fishing,dry,quick,lightweight,pant,backpack
168,nightgown,sleepwear,sleep,ekouaer,nightshirt,pajama,sleeve,short,woman,dress
169,shirt,tee,woman,graphic,halloween,funny,top,disney,cute,large
170,coat,parka,jacket,winter,warm,hooded,fur,outwear,faux,woman
171,waist,woman,skirt,high,leather,black,belt,faux,lace,pant
172,sock,pair,crew,woman,cotton,pack,show,ankle,no,knee
173,gym,workout,men,short,running,athletic,training,dry,pocket,bodybuilding
174,disney,mouse,mickey,minnie,shirt,girl,pajama,set,boy,and
175,cotton,top,woman,crop,sleeve,shirt,short,long,womens,tee
176,comic,batman,dc,marvel,boy,superman,logo,avenger,spider,shirt
177,waist,shaper,trainer,body,corset,shapewear,cincher,slimming,trimmer,belt
178,sunglass,black,frame,polarized,metal,matte,lens,retro,gold,smoke
179,rain,waterproof,jacket,umbrella,windproof,raincoat,ski,outdoor,hooded,lightweight
180,tie,necktie,men,silk,bow,cufflink,set,wedding,woven,tuxedo
181,outfit,piece,set,tracksuit,sweatsuit,pant,short,long,woman,sleeve
182,boot,ankle,heel,bootie,booty,woman,toe,chunky,black,high
183,kimono,cardigan,robe,woman,floral,cover,chiffon,print,loose,up
184,ring,wedding,gold,engagement,for,jewelry,woman,band,silver,rose
185,scarf,shawl,wrap,winter,woman,soft,silk,infinity,cashmere,warm
186,pajama,boy,sleepwear,girl,set,kid,pjs,toddler,cotton,piece
187,sweatshirt,hoodie,pullover,hoodies,hooded,3d,unisex,men,printed,black
188,men,cargo,short,pant,large,pocket,black,shirt,sock,zip
189,belly,ring,navel,piercing,14g,button,steel,barbell,body,surgical
190,men,wool,sock,winter,merino,sweater,black,blend,hat,large
191,youth,boy,jersey,kid,outerstuff,20,soccer,big,nike,shirt
192,hat,baby,cap,beanie,kid,boy,toddler,girl,winter,warm
193,handbag,bag,purse,shoulder,leather,crossbody,tote,clutch,woman,satchel
194,celtic,knot,sterling,silver,irish,925,ring,shamrock,trinity,pendant
195,dress,girl,flower,pageant,princess,wedding,party,gown,tulle,birthday
196,pin,brooch,gift,enamel,lapel,for,crystal,jewelry,rhinestone,badge
197,cotton,100,shirt,black,size,pack,white,organic,large,cap
198,reading,glass,reader,hinge,spring,00,men,frame,50,eyekepper
199,pencil,dress,work,business,bodycon,woman,sleeve,wear,to,office
