,0,1,2,3,4,5,6,7,8,9
111,dokotoo,womens,casual,lady,sleeve,summer,large,blouse,fashion,long
112,shirt,men,sleeve,button,cotton,down,casual,short,long,plaid
113,sock,girl,ankle,legging,boot,woman,knee,high,pair,black
114,bag,handbag,purse,shoulder,crossbody,tote,leather,woman,satchel,messenger
115,swimsuit,piece,swimwear,one,bathing,suit,tankini,woman,monokini,tummy
116,men,fit,slim,shirt,polo,sleeve,casual,long,short,button
117,sunglass,polarized,lens,frame,aviator,protection,uv400,glass,uv,men
118,pant,waist,leg,wide,elastic,woman,trouser,high,casual,pocket
119,steel,stainless,chain,necklace,silver,gold,men,bracelet,inch,link
120,bra,push,strapless,up,invisible,adhesive,woman,lift,padded,sticky
121,watch,waterproof,men,quartz,wrist,analog,sport,wristwatch,steel,date
122,hat,cap,baseball,adjustable,snapback,new,black,era,unisex,navy
123,tunic,top,sleeve,shirt,loose,neck,blouse,casual,long,woman
124,girl,dress,princess,tutu,party,flower,kid,wedding,pageant,year
125,swing,dress,casual,woman,sleeve,loose,pocket,summer,neck,floral
126,slipper,indoor,house,slip,shoe,outdoor,foam,memory,men,on
127,tie,dye,silk,neck,dress,black,necktie,scarf,and,sleeve
128,silver,pendant,necklace,sterling,plated,gold,charm,crystal,925,chain
129,keychain,key,chain,keyring,ring,holder,for,lanyard,gift,car
130,men,gym,workout,short,running,athletic,pant,jogger,pocket,dry
131,reading,glass,reader,hinge,spring,computer,men,blocking,00,frame
132,beach,dress,summer,maxi,floral,woman,casual,sundress,sleeveless,boho
133,glass,eyeglass,case,sunglass,holder,eyewear,retainer,frame,clear,reading
134,jacket,coat,winter,woman,warm,hooded,fur,outwear,long,fleece
135,bag,tote,travel,shopping,grocery,reusable,luggage,canvas,organizer,foldable
136,shoulder,cold,top,blouse,off,sleeve,shirt,woman,casual,long
137,hat,baby,boy,kid,toddler,cap,winter,beanie,girl,sun
138,sweater,pullover,knit,long,sleeve,knitted,woman,jumper,top,neck
139,boxer,boy,brief,underwear,pack,men,cotton,short,size,set
140,caress,nine,synthetic,west,taupe,affection,volatile,black,doopai,doorknob
141,trucker,hat,cap,baseball,adjustable,mesh,snapback,black,car,men
142,woman,shirt,womens,tee,large,sleeve,black,top,short,size
143,men,tactical,military,armour,under,black,large,navy,army,jacket
144,costume,halloween,cosplay,dress,adult,party,for,outfit,woman,accessory
145,costume,cosplay,men,hoodie,jacket,adult,halloween,black,hero,academia
146,jogger,pant,set,sweatpants,outfit,piece,tracksuit,sweatsuit,woman,workout
147,cotton,size,black,large,100,scarf,shirt,blue,pack,white
148,black,boot,suede,michael,west,10,brown,size,kor,blvd
149,sleepwear,sleep,nightgown,pajama,woman,set,short,large,ekouaer,nightshirt
